,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
37253,5337856,556600.41,4333358.84,206.57,2,415939.47217,-9.0,86,1,1,2027,0,0,2,0,0,0,,,556599.4738984117,4333358.82964309,-0.11765028970263361,176.6130371,206.57449340820312
17440,2757251,556599.28,4333358.82,206.55,2,423532.0395,-7.997999999999998,45,1,1,1060,0,1,1,0,0,0,,,556599.4739813565,4333358.822146186,-0.11015292652917524,176.6130371,206.57449340820312
17441,2757252,556599.59,4333358.81,206.56,2,423532.039508,-7.997999999999998,54,1,1,1060,0,1,1,0,0,0,,,556599.474129924,4333358.808718028,-0.09672394680037033,176.6130371,206.57449340820312
17442,2757253,556599.89,4333358.79,206.54,2,423532.039516,-7.997999999999998,62,1,1,1060,0,1,1,0,0,0,,,556599.4743878926,4333358.78540172,-0.07340621218362599,176.6130371,206.57449340820312
17443,2757254,556600.19,4333358.78,206.55,2,423532.039524,-7.997999999999998,61,1,1,1060,0,1,1,0,0,0,,,556599.4745352361,4333358.772084189,-0.06008786535432059,176.6130371,206.57449340820312
12776,1527677,556599.05,4333358.75,206.54,1,417838.531261,-9.0,61,1,1,1032,0,0,1,0,0,0,,,556599.4747275822,4333358.754699132,-0.04270174543039163,176.6130371,206.57449340820312
7308,1211910,556599.33,4333358.73,206.54,2,415938.805499,-9.0,53,1,1,1025,0,1,1,0,0,0,,,556599.474983103,4333358.731604075,-0.019605274751403085,176.6130371,206.50033569335938
42689,5681806,556600.11,4333358.72,206.57,1,417839.186835,-7.997999999999998,74,1,1,2034,0,1,2,0,0,0,,,556599.4751891957,4333358.712976533,-0.0009765925194668548,176.6130371,206.50033569335938
83564,11655522,556598.56,4333358.69,206.43,2,426733.715836,7.002000000000002,22,1,1,3080,0,1,3,0,0,0,,,556599.4753313601,4333358.700127111,0.011873615779468836,176.6108529562304,206.50033569335938
36085,4878115,556599.9,4333358.7,206.56,1,415212.364489,9.0,71,1,1,2024,0,1,2,0,0,0,,,556599.4753847433,4333358.69530211,0.016698911722498346,176.60996534623303,206.50033569335938
83565,11655523,556598.86,4333358.68,206.46,2,426733.715845,7.002000000000002,21,1,1,3080,0,1,3,0,0,0,,,556599.4754787036,4333358.686809579,0.02519196354003981,176.60840305496836,206.50033569335938
83566,11655524,556599.14,4333358.66,206.48,2,426733.715852,7.002000000000002,21,1,1,3080,0,1,3,0,0,0,,,556599.4757342244,4333358.663714522,0.04828843422031628,176.60415447446232,206.50033569335938
