,Unnamed: 0,x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel,height,tree_elev,xproj,yproj,D,elev_of_gnd_at_proj,bareearth
139495,11084991,556561.39,4333360.42,192.07,2,425156.766521,-22.002,16,1,1,3069,0,1,3,0,0,0,,,556561.3838057535,4333360.244966384,38.11393830441186,162.03759721542355,192.1094207763672
43842,3526929,556561.38,4333360.31,192.1,1,425471.870404,10.998,15,2,2,1071,0,0,1,0,0,0,,,556561.3777061711,4333360.245182242,38.120041705173215,162.0351594715785,192.1094207763672
43492,3526121,556561.34,4333359.66,192.13,1,425471.859429,10.998,79,1,1,1071,0,1,1,0,0,0,,,556561.3607302137,4333360.245783002,38.13702828936964,162.02837490299248,192.1094207763672
55795,4586746,556561.3,4333359.14,192.12,2,409918.047555,7.002000000000002,79,1,1,2015,0,0,2,0,0,0,,,556561.3391594545,4333360.246546368,38.15861255178951,162.01975398738796,192.1094207763672
123758,9597661,556561.32,4333359.74,192.1,1,417837.344794,-7.997999999999998,18,1,1,3032,0,1,3,0,0,0,,,556561.3379276594,4333360.24658996,38.159845117941806,162.01926169126176,192.1094207763672
80914,6629692,556561.3,4333359.24,192.11,1,422098.778404,-7.997999999999998,73,1,1,2053,0,1,2,0,0,0,,,556561.3356249912,4333360.246671448,38.162149227483646,162.01834141270336,192.1094207763672
43839,3526926,556561.33,4333360.14,193.39,1,425471.870396,10.998,18,2,1,1071,0,0,1,0,0,0,1.2799999999999727,163.29760296855702,556561.3337772988,4333360.246736837,38.16399807660452,162.01760296855704,192.1094207763672
143619,11347723,556561.36,4333361.05,195.77,1,425471.230287,10.998,7,1,1,3071,0,0,3,0,0,0,3.8200000000000216,165.83672326697956,556561.33157616,4333360.246814732,38.16620059320152,162.01672326697954,192.1094207763672
49657,3857748,556561.34,4333360.54,192.04,2,426734.235393,4.998,7,2,2,1080,0,1,1,0,0,0,,,556561.3296269382,4333360.246883713,38.16815103530017,162.0159442458392,192.1094207763672
38222,3214075,556561.33,4333360.49,193.43,1,425157.487504,-21.0,19,2,1,1069,0,1,1,0,0,0,1.3900000000000148,163.40265895718076,556561.3214066778,4333360.247174619,38.17637644148459,162.01265895718075,192.1094207763672
87321,6947969,556561.3,4333359.83,192.17,1,423532.719339,-10.002,49,1,1,2062,0,1,2,0,0,0,,,556561.3147716587,4333360.247409425,38.18301561395718,162.01000722211302,192.1094207763672
61337,4834530,556561.34,4333361.04,193.82,1,415211.844387,10.002,9,3,2,2024,0,1,2,0,0,0,1.9300000000000068,163.93888137245574,556561.3119546225,4333360.247509116,38.18583441367204,162.00888137245573,192.1094207763672
49658,3857749,556561.34,4333361.07,195.62,1,426734.235401,4.998,19,2,1,1080,0,1,1,0,0,0,3.730000000000018,165.73845760004906,556561.3108942836,4333360.247546641,38.18689541638357,162.00845760004904,192.1094207763672
114912,8948187,556561.32,4333360.69,194.36,1,415210.56331,9.0,3,2,1,3022,0,1,3,0,0,0,2.420000000000016,164.4258422318306,556561.3043502596,4333360.247778227,38.19344353685495,162.00584223183057,192.1094207763672
